variable,treated_mean,comparator_mean,smd,abs_smd,weighted
lab_test_count,5.3975820120246985,5.406249920921079,-0.003479938488332476,0.003479938488332476,True
race_hispanic,0.14197344655683325,0.1411295176575806,0.0024209835532346094,0.0024209835532346094,True
cvd,0.29979000542322354,0.2988823318266864,0.001981962659481979,0.001981962659481979,True
hypertension,0.6492522135984755,0.6501293874825584,-0.0018386825172308746,0.0018386825172308746,True
diabetes_duration_years,6.765641099802118,6.773627143081755,-0.0017826506484994208,0.0017826506484994208,True
inpatient_visits,0.18676403351841264,0.18739950346406078,-0.001471496855164052,0.001471496855164052,True
calendar_quarter,2.4885544764657888,2.4901929794335924,-0.0014595503527365288,0.0014595503527365288,True
ckd,0.31267454763970337,0.31334251267949376,-0.001440456297338071,0.001440456297338071,True
race_black,0.18068891294569023,0.1810190020226858,-0.0008576034436824495,0.0008576034436824495,True
emergency_visits,0.33522814001042,0.33477771725340216,0.0007807178537462902,0.0007807178537462902,True
bmi,30.75264074036519,30.75634195750797,-0.0007022915398956452,0.0007022915398956452,True
site_id,4.46866616127034,4.4670885337522925,0.0006830430306264901,0.0006830430306264901,True
sex_female,0.48004977928396525,0.4803302718977765,-0.0005614260693620148,0.0005614260693620148,True
medication_count,8.308666482658936,8.310205361553669,-0.0004964330785828414,0.0004964330785828414,True
prior_hf,0.16827261822472211,0.16811748344128738,0.0004147551972645405,0.0004147551972645405,True
obesity,0.5517148213396994,0.5518541408206118,-0.00028014551005007323,0.00028014551005007323,True
age,62.87992224200992,62.8773730505468,0.0002646986821656181,0.0002646986821656181,True
utilization_visits,4.543136832649998,4.543629282652897,-0.0002123686800426716,0.0002123686800426716,True
race_other,0.06442860336542316,0.06440695035867768,8.820117375614088e-05,8.820117375614088e-05,True
calendar_year_centered,0.0031041901524310736,0.0031902401639516374,-7.883732665428566e-05,7.883732665428566e-05,True
