variable,treated_mean,comparator_mean,smd,abs_smd,weighted
medication_count,8.292864890986346,8.31049374949882,-0.005684031348122008,0.005684031348122008,True
hdps_procedure__px_kidney_monitoring,0.33748297725174986,0.3396037892415008,-0.0044817271482262165,0.0044817271482262165,True
race_black,0.179782793730176,0.1813343281546188,-0.004033613627120681,0.004033613627120681,True
hdps_visit__visit_ed,0.16802507848967674,0.1694173746433892,-0.003717698499988663,0.003717698499988663,True
race_hispanic,0.1419215222905127,0.14067169420252063,0.0035880916021631885,0.0035880916021631885,True
sex_female,0.47876224326057487,0.48049317523697466,-0.0034647462910253383,0.0034647462910253383,True
age,62.866876742015556,62.836196804450296,0.0031805916222132314,0.0031805916222132314,True
calendar_quarter,2.479603389259042,2.482972961534707,-0.003000359460158756,0.003000359460158756,True
hdps_medication__rx_ras_blocker,0.3989409944707112,0.4002480221062395,-0.0026684131573262906,0.0026684131573262906,True
site_id,4.46301305260236,4.4570655034010045,0.0025773266282031917,0.0025773266282031917,True
race_other,0.0636464887977658,0.06425939510390237,-0.002505043808881397,0.002505043808881397,True
obesity,0.5502521511061547,0.55141361139564,-0.002335020808639383,0.002335020808639383,True
hdps_medication__rx_loop_diuretic,0.14142892311525193,0.14069852065571517,0.002098332580131489,0.002098332580131489,True
hdps_lab__lab_egfr_low,0.8622496081761254,0.8615467675696299,0.0020371799711030583,0.0020371799711030583,True
calendar_year_centered,0.008018361728033037,0.009971577788170932,-0.0017881511332633255,0.0017881511332633255,True
hdps_medication__rx_statin,0.41020999940250075,0.4093617483521055,0.0017248100582813114,0.0017248100582813114,True
utilization_visits,4.551121054571149,4.5472184565183165,0.0016862714016387583,0.0016862714016387583,True
frailty_proxy,0.130059319207049,0.12951541415011864,0.0016184315515245713,0.0016184315515245713,True
hdps_diagnosis__dx_frailty_proxy,0.130059319207049,0.12951541415011864,0.0016184315515245713,0.0016184315515245713,True
hdps_medication__rx_insulin,0.4542106243978891,0.45496201782501483,-0.0015090246039354952,0.0015090246039354952,True
ckd,0.31166050212753965,0.31229072190391305,-0.0013602849361615587,0.0013602849361615587,True
hdps_diagnosis__dx_ckd,0.31166050212753965,0.31229072190391305,-0.0013602849361615587,0.0013602849361615587,True
hdps_diagnosis__dx_social_risk_proxy,0.2825686543891575,0.2831426154570218,-0.001274373730371003,0.001274373730371003,True
hdps_procedure__px_cardiac_test,0.2732198428078576,0.2727296855565462,0.0011002705910095982,0.0011002705910095982,True
socioeconomic_risk_proxy,0.006381323572924931,0.007395130806020348,-0.001006299943514715,0.001006299943514715,True
hdps_lab__lab_intense_monitoring,0.3494679505960001,0.3498416723432546,-0.0007837123377904494,0.0007837123377904494,True
hdps_diagnosis__dx_htn,0.6512026878126981,0.6515553398518332,-0.0007400358932887919,0.0007400358932887919,True
hypertension,0.6512026878126981,0.6515553398518332,-0.0007400358932887919,0.0007400358932887919,True
hdps_visit__visit_high_util,0.27368034566794874,0.27397256419449095,-0.000655314618761299,0.000655314618761299,True
hdps_diagnosis__dx_prior_hf,0.16785938582687795,0.16809465890347422,-0.000629331766252542,0.000629331766252542,True
prior_hf,0.16785938582687795,0.16809465890347422,-0.000629331766252542,0.000629331766252542,True
hdps_diagnosis__dx_smoking_proxy,0.23587565722826084,0.23564313576171753,0.0005477892563922779,0.0005477892563922779,True
smoking_proxy,0.23587565722826084,0.23564313576171753,0.0005477892563922779,0.0005477892563922779,True
lab_test_count,5.397824366950348,5.398886119071387,-0.00042692780821196856,0.00042692780821196856,True
bmi,30.749385112721193,30.751546349453633,-0.0004127862376192111,0.0004127862376192111,True
cvd,0.29924672632151095,0.2990668387564469,0.00039286314359224624,0.00039286314359224624,True
hdps_diagnosis__dx_cvd,0.29924672632151095,0.2990668387564469,0.00039286314359224624,0.00039286314359224624,True
egfr_proxy,44.51395239161296,44.508518407397226,0.0003810036323507356,0.0003810036323507356,True
diabetes_duration_years,6.755161167222622,6.75378572948739,0.0003083186119257761,0.0003083186119257761,True
a1c_proxy,7.576382353198941,7.576134428156859,0.0002943553576487756,0.0002943553576487756,True
inpatient_visits,0.18626229131676011,0.1861538940599714,0.0002520950849692957,0.0002520950849692957,True
emergency_visits,0.3330431280750437,0.3331224154245688,-0.00013807343260217414,0.00013807343260217414,True
hdps_lab__lab_a1c_high,0.13166283990251632,0.13163231267750192,9.028859271755055e-05,9.028859271755055e-05,True
hdps_procedure__px_frailty_eval,0.1460186889194723,0.14600252351666887,4.577918853410584e-05,4.577918853410584e-05,True
