analysis,weight_col,risk_exposed,risk_comparator,risk_difference,risk_ratio,hazard_ratio_rate_proxy,events_exposed_weighted,events_comparator_weighted,n,risk_difference_ci_low,risk_difference_ci_high,risk_ratio_ci_low,risk_ratio_ci_high,hazard_ratio_rate_proxy_ci_low,hazard_ratio_rate_proxy_ci_high
crude,none,0.18936567164179105,0.14638371589432655,0.042981955747464495,1.293625253907975,1.3781206561374362,406.0,338.0,4453.0,,,,,,
conventional_ps_stabilized_iptw,weight_stabilized_iptw,0.17993802503171746,0.15526363732706963,0.024674387704647832,1.1589192944943714,1.2211589132191025,385.59923990222137,358.76700549078987,4453.0,-0.004970757658031282,0.05196836998035648,0.9719290572086692,1.3616858854348728,1.021058995630559,1.4336711339387551
conventional_ps_overlap,weight_overlap,0.17989345876143553,0.15440839011089785,0.02548506865053768,1.1650497659630672,1.2278059156390804,193.73972045952098,166.2930855999697,4453.0,,,,,,
conventional_ps_truncated_stabilized_iptw,weight_truncated_stabilized_iptw,0.18006477274262497,0.15437415762903664,0.025690615113588333,1.1664178480916687,1.2304657734557674,385.8532885377309,355.89301849028027,4453.0,,,,,,
hdps_proxy_stabilized_iptw,weight_stabilized_iptw,0.17430915002014802,0.15771639781861144,0.01659275220153658,1.105206259025899,1.159580147760026,373.53283599755855,364.4581870165184,4453.0,-0.0032097964972041754,0.03829263088588996,0.9801285850057931,1.2603264194319552,1.0147033721764902,1.345400625851193
hdps_proxy_overlap,weight_overlap,0.1733764475029759,0.15860484910497383,0.014771598398002073,1.0931345950729752,1.1466305208833998,181.39090035825882,165.93647404064598,4453.0,,,,,,
oracle_adjusts_true_u,weight_stabilized_iptw,0.15779917271603733,0.1834573230677199,-0.025658150351682563,0.8601410403104414,0.8742397567346983,339.0635799570084,422.2008650902322,4453.0,,,,,,
