observed_rr,u_prevalence_exposed,u_prevalence_comparator,u_treatment_prevalence_or,u_outcome_rr,bias_factor,bias_adjusted_rr,moves_to_null,moves_to_clinically_unimportant
1.1589192944943714,0.1,0.1,1.0,1.1,1.0,1.1589192944943714,False,False
1.1589192944943714,0.1,0.1,1.0,1.25,1.0,1.1589192944943714,False,False
1.1589192944943714,0.1,0.1,1.0,1.5,1.0,1.1589192944943714,False,False
1.1589192944943714,0.1,0.1,1.0,1.75,1.0,1.1589192944943714,False,False
1.1589192944943714,0.1,0.1,1.0,2.0,1.0,1.1589192944943714,False,False
1.1589192944943714,0.1,0.1,1.0,2.5,1.0,1.1589192944943714,False,False
1.1589192944943714,0.1,0.1,1.0,3.0,1.0,1.1589192944943714,False,False
1.1589192944943714,0.1,0.1,1.0,4.0,1.0,1.1589192944943714,False,False
1.1589192944943714,0.1,0.2,0.4444444444444445,1.1,0.9901960784313726,1.1703937429547115,False,False
1.1589192944943714,0.1,0.2,0.4444444444444445,1.25,0.976190476190476,1.1871856187503318,False,False
1.1589192944943714,0.1,0.2,0.4444444444444445,1.5,0.9545454545454545,1.214105927565532,False,False
1.1589192944943714,0.1,0.2,0.4444444444444445,1.75,0.934782608695652,1.239774128993979,False,False
1.1589192944943714,0.1,0.2,0.4444444444444445,2.0,0.9166666666666666,1.2642755939938597,False,False
1.1589192944943714,0.1,0.2,0.4444444444444445,2.5,0.8846153846153845,1.310082680732768,False,False
1.1589192944943714,0.1,0.2,0.4444444444444445,3.0,0.8571428571428572,1.3520725102434332,False,False
1.1589192944943714,0.1,0.2,0.4444444444444445,4.0,0.8125,1.426362208608457,False,False
1.1589192944943714,0.1,0.3,0.25925925925925924,1.1,0.9805825242718447,1.181868191415052,False,False
1.1589192944943714,0.1,0.3,0.25925925925925924,1.25,0.9534883720930232,1.215451943006292,False,False
1.1589192944943714,0.1,0.3,0.25925925925925924,1.5,0.9130434782608696,1.2692925606366923,False,False
1.1589192944943714,0.1,0.3,0.25925925925925924,1.75,0.8775510204081631,1.3206289634935862,False,False
1.1589192944943714,0.1,0.3,0.25925925925925924,2.0,0.8461538461538464,1.3696318934933476,False,False
1.1589192944943714,0.1,0.3,0.25925925925925924,2.5,0.793103448275862,1.461246066971164,False,False
1.1589192944943714,0.1,0.3,0.25925925925925924,3.0,0.7500000000000002,1.5452257259924946,False,False
1.1589192944943714,0.1,0.3,0.25925925925925924,4.0,0.6842105263157895,1.6938051227225428,False,False
1.1589192944943714,0.1,0.4,0.16666666666666666,1.1,0.9711538461538461,1.1933426398753924,False,False
1.1589192944943714,0.1,0.4,0.16666666666666666,1.25,0.9318181818181817,1.2437182672622524,False,False
1.1589192944943714,0.1,0.4,0.16666666666666666,1.5,0.8749999999999999,1.324479193707853,False,False
1.1589192944943714,0.1,0.4,0.16666666666666666,1.75,0.8269230769230769,1.4014837979931933,False,False
1.1589192944943714,0.1,0.4,0.16666666666666666,2.0,0.7857142857142858,1.4749881929928361,False,False
1.1589192944943714,0.1,0.4,0.16666666666666666,2.5,0.7187499999999999,1.6124094532095603,False,False
1.1589192944943714,0.1,0.4,0.16666666666666666,3.0,0.6666666666666666,1.7383789417415572,False,False
1.1589192944943714,0.1,0.4,0.16666666666666666,4.0,0.5909090909090908,1.9612480368366287,False,False
1.1589192944943714,0.1,0.5,0.11111111111111112,1.1,0.9619047619047618,1.2048170883357328,False,False
1.1589192944943714,0.1,0.5,0.11111111111111112,1.25,0.911111111111111,1.2719845915182126,False,False
1.1589192944943714,0.1,0.5,0.11111111111111112,1.5,0.8400000000000001,1.3796658267790134,False,False
1.1589192944943714,0.1,0.5,0.11111111111111112,1.75,0.7818181818181817,1.4823386324928007,False,False
1.1589192944943714,0.1,0.5,0.11111111111111112,2.0,0.7333333333333334,1.5803444924923244,False,False
1.1589192944943714,0.1,0.5,0.11111111111111112,2.5,0.6571428571428571,1.7635728394479564,False,False
1.1589192944943714,0.1,0.5,0.11111111111111112,3.0,0.6000000000000001,1.9315321574906186,False,False
1.1589192944943714,0.1,0.5,0.11111111111111112,4.0,0.52,2.228690950950714,False,False
1.1589192944943714,0.1,0.6,0.07407407407407408,1.1,0.9528301886792453,1.216291536796073,False,False
1.1589192944943714,0.1,0.6,0.07407407407407408,1.25,0.8913043478260869,1.3002509157741728,False,False
1.1589192944943714,0.1,0.6,0.07407407407407408,1.5,0.8076923076923078,1.4348524598501737,False,False
1.1589192944943714,0.1,0.6,0.07407407407407408,1.75,0.7413793103448275,1.5631934669924081,False,False
1.1589192944943714,0.1,0.6,0.07407407407407408,2.0,0.6875,1.685700791991813,False,False
1.1589192944943714,0.1,0.6,0.07407407407407408,2.5,0.6052631578947368,1.9147362256863527,False,False
1.1589192944943714,0.1,0.6,0.07407407407407408,3.0,0.5454545454545456,2.12468537323968,False,False
1.1589192944943714,0.1,0.6,0.07407407407407408,4.0,0.46428571428571436,2.4961338650647993,False,False
1.1589192944943714,0.2,0.1,2.25,1.1,1.00990099009901,1.1475573406267794,False,False
1.1589192944943714,0.2,0.1,2.25,1.25,1.024390243902439,1.131325977958791,False,False
1.1589192944943714,0.2,0.1,2.25,1.5,1.0476190476190477,1.1062411447446272,False,False
1.1589192944943714,0.2,0.1,2.25,1.75,1.0697674418604652,1.0833376013751732,False,False
1.1589192944943714,0.2,0.1,2.25,2.0,1.090909090909091,1.0623426866198402,False,False
