method,u_treatment_strength,u_outcome_strength,proxy_quality,positivity_stress,outcome_baseline_hazard_per_day,mean_rr,true_rr,bias,variance,mean_squared_error,coverage,false_reassurance_rate,repetitions
crude,0.0,0.0,0.25,0.0,0.0003,0.8469037971501392,0.7951868096005745,0.06246482176820362,0.0014639738563316741,0.0049998343507822,1.0,0.0,4
crude,0.0,0.5,0.25,0.0,0.0003,0.9167633513045583,0.8026579410904058,0.127181654867716,0.01563221932002146,0.027899337824906927,1.0,0.0,4
crude,0.0,1.0,0.25,0.0,0.0003,0.7178576116067399,0.8268298118205399,-0.14432644401049843,0.007352760145778514,0.026344692550049422,1.0,0.0,4
crude,0.5,0.0,0.25,0.0,0.0003,0.8446610007287626,0.7953140437193066,0.04608473918678543,0.038931487824002665,0.031322419053916035,1.0,0.0,4
crude,0.5,0.5,0.25,0.0,0.0003,0.9343427106800666,0.8023197514986269,0.12145333900998934,0.08469273712437812,0.07827046639995898,0.5,0.0,4
crude,0.5,1.0,0.25,0.0,0.0003,1.2510346417540923,0.8229348682360198,0.39697504755706237,0.059750457259956063,0.20240203132789897,0.25,0.0,4
crude,1.0,0.0,0.25,0.0,0.0003,0.9055256665016735,0.7952789045832989,0.11166219275744117,0.048764990030201044,0.049042187814050724,0.75,0.0,4
crude,1.0,0.5,0.25,0.0,0.0003,1.1279469779926932,0.802742366440543,0.32936750996202313,0.028540230796981366,0.12988812971631944,0.5,0.0,4
crude,1.0,1.0,0.25,0.0,0.0003,1.6696773604318556,0.8249424575838669,0.704808960118596,0.0006416211961838483,0.4972368861605945,0.0,0.0,4
crude,1.0,1.0,0.75,0.0,0.0003,1.890461802843979,0.8260291200323221,0.8251929507761631,0.0076047797451856925,0.6866469908195603,0.0,0.0,4
crude,1.0,1.0,0.75,0.8,0.0003,1.599089711027657,0.8240442296219176,0.6575876399820306,0.014432076309658823,0.4432455614893807,0.0,0.0,4
crude,1.0,1.0,0.75,0.8,0.0007,1.5334408295036641,0.853699613852031,0.5749651383494195,0.02790280611820264,0.3515120149058191,0.0,0.0,4
hdps_proxy,0.0,0.0,0.25,0.0,0.0003,0.812899366158887,0.7951868096005745,0.016382479774406752,0.015617337814922435,0.011981389004750674,1.0,0.5,4
hdps_proxy,0.0,0.5,0.25,0.0,0.0003,0.9048945100108975,0.8026579410904058,0.11263854274349229,0.019528014121938678,0.02733345190283155,1.0,0.75,4
hdps_proxy,0.0,1.0,0.25,0.0,0.0003,0.7137132212670876,0.8268298118205399,-0.15500189361119057,0.01982117229587283,0.03889146624495947,0.75,0.75,4
hdps_proxy,0.5,0.0,0.25,0.0,0.0003,0.8249830112100048,0.7953140437193066,0.013341240367691784,0.0652635338203267,0.04912563905979354,1.0,0.75,4
hdps_proxy,0.5,0.5,0.25,0.0,0.0003,0.8369420103538627,0.8023197514986269,0.009553528293630147,0.09054350355598245,0.06799889756984404,1.0,1.0,4
hdps_proxy,0.5,1.0,0.25,0.0,0.0003,1.0935265097185813,0.8229348682360198,0.2663931592085173,0.04895330649607312,0.10768029514514928,0.5,0.75,4
hdps_proxy,1.0,0.0,0.25,0.0,0.0003,0.8668967339156689,0.7952789045832989,0.06685691902611321,0.05072616158029414,0.042514468806884864,0.75,0.5,4
hdps_proxy,1.0,0.5,0.25,0.0,0.0003,0.8932430692803383,0.802742366440543,0.10087773296627157,0.015542263910594913,0.021833014941360578,1.0,0.5,4
hdps_proxy,1.0,1.0,0.25,0.0,0.0003,1.2925918243056933,0.8249424575838669,0.44491573171113485,0.011908413793409081,0.20688131866911133,0.0,1.0,4
hdps_proxy,1.0,1.0,0.75,0.0,0.0003,1.313323671840344,0.8260291200323221,0.4579328224697665,0.01537954843985402,0.22123713122501723,0.25,1.0,4
hdps_proxy,1.0,1.0,0.75,0.8,0.0003,1.193648743294033,0.8240442296219176,0.36744121648929984,0.008035719353883761,0.14103983709054932,0.25,1.0,4
hdps_proxy,1.0,1.0,0.75,0.8,0.0007,1.2197813707357674,0.853699613852031,0.3387664935518581,0.047501374056852654,0.15038876769606063,0.25,0.75,4
measured_ps,0.0,0.0,0.25,0.0,0.0003,0.8285620397522796,0.7951868096005745,0.03731102553107045,0.010445960040009672,0.009226582656187445,1.0,0.5,4
measured_ps,0.0,0.5,0.25,0.0,0.0003,0.8902835053964778,0.8026579410904058,0.09765537231650437,0.016219784442650282,0.021701410074262805,1.0,0.75,4
measured_ps,0.0,1.0,0.25,0.0,0.0003,0.7005854037742378,0.8268298118205399,-0.1728422300684323,0.0182119537503507,0.043533401807791916,0.75,0.75,4
measured_ps,0.5,0.0,0.25,0.0,0.0003,0.8021766375559302,0.7953140437193066,-0.011320206511778091,0.05522391399922993,0.04154608257489174,1.0,0.75,4
measured_ps,0.5,0.5,0.25,0.0,0.0003,0.8607865178822118,0.8023197514986269,0.039900782672909085,0.08477615491574347,0.06517418864471833,1.0,0.75,4
measured_ps,0.5,1.0,0.25,0.0,0.0003,1.1424726168446333,0.8229348682360198,0.30413461016202925,0.0646399043381543,0.1409777893520252,0.5,0.75,4
measured_ps,1.0,0.0,0.25,0.0,0.0003,0.8531089910579899,0.7952789045832989,0.05717508155365598,0.03511836816573278,0.02960776607496679,1.0,0.75,4
measured_ps,1.0,0.5,0.25,0.0,0.0003,0.970998264786177,0.802742366440543,0.18645315202223123,0.01023070420967191,0.0424378060562792,1.0,0.75,4
measured_ps,1.0,1.0,0.25,0.0,0.0003,1.4481150869365853,0.8249424575838669,0.5592922488103187,0.009755974289854941,0.32012480029669466,0.0,1.0,4
measured_ps,1.0,1.0,0.75,0.0,0.0003,1.5334315359314046,0.8260291200323221,0.6165629116167206,0.00544664215381136,0.38423480559664647,0.0,1.0,4
